year,month,authorLocation,index,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2020,2,Inverclyde,336,48,0.0,0.0,0.0,0.0,0.0
2020,2,Midlothian,337,42,0.0,0.0,0.0,0.0,0.0
2020,2,Moray,338,34,0.0,0.0,0.0,0.0,0.0
2020,2,North Ayrshire,339,92,1.0,0.0,0.0,1.0,1.0
2020,2,North Lanarkshire,340,259,0.0,0.0,1.0,1.0,0.0
2020,2,Orkney,341,5,0.0,0.0,0.0,0.0,0.0
2020,2,Perth and Kinross,342,41,0.0,0.0,0.0,0.0,0.0
2020,2,Renfrewshire,343,109,0.0,0.0,0.0,0.0,0.0
2020,2,Scottish Borders,344,54,0.0,0.0,0.0,0.0,0.0
2020,2,Shetland,345,5,0.0,0.0,1.0,1.0,0.0
2020,2,South Ayrshire,346,44,1.0,0.0,0.0,1.0,1.0
2020,2,South Lanarkshire,347,195,2.0,0.0,1.0,3.0,0.6666666666666666
2020,2,Stirling,348,36,2.0,1.0,1.0,4.0,0.5
2020,2,West Dunbartonshire,349,59,0.0,0.0,0.0,0.0,0.0
2020,2,West Lothian,350,68,0.0,0.0,1.0,1.0,0.0
2020,2,Western Isles - Eilean Siar,351,5,0.0,0.0,0.0,0.0,0.0
2020,3,Aberdeen,352,129,0.0,0.0,0.0,0.0,0.0
2020,3,Aberdeenshire,353,42,0.0,0.0,0.0,0.0,0.0
2020,3,Angus,354,31,0.0,0.0,0.0,0.0,0.0
2020,3,Argyll and Bute,355,58,0.0,0.0,0.0,0.0,0.0
2020,3,Clackmannanshire,356,29,0.0,0.0,0.0,0.0,0.0
2020,3,Dumfries and Galloway,357,143,0.0,0.0,0.0,0.0,0.0
2020,3,Dundee,358,75,0.0,0.0,0.0,0.0,0.0
2020,3,East Ayrshire,359,93,0.0,0.0,0.0,0.0,0.0
2020,3,East Dunbartonshire,360,38,0.0,0.0,0.0,0.0,0.0
2020,3,East Lothian,361,41,1.0,1.0,0.0,2.0,0.5
2020,3,East Renfrewshire,362,21,0.0,0.0,0.0,0.0,0.0
2020,3,Edinburgh,363,256,1.0,2.0,0.0,3.0,0.3333333333333333
2020,3,Falkirk,364,138,0.0,0.0,0.0,0.0,0.0
2020,3,Fife,365,191,0.0,1.0,0.0,1.0,0.0
2020,3,Glasgow,366,538,5.0,1.0,1.0,7.0,0.7142857142857143
2020,3,Highland,367,82,0.0,0.0,0.0,0.0,0.0
2020,3,Inverclyde,368,44,0.0,1.0,0.0,1.0,0.0
2020,3,Midlothian,369,49,0.0,1.0,0.0,1.0,0.0
2020,3,Moray,370,24,0.0,0.0,0.0,0.0,0.0
2020,3,North Ayrshire,371,95,0.0,0.0,0.0,0.0,0.0
2020,3,North Lanarkshire,372,288,1.0,0.0,0.0,1.0,1.0
2020,3,Orkney,373,2,0.0,0.0,0.0,0.0,0.0
2020,3,Perth and Kinross,374,44,0.0,0.0,0.0,0.0,0.0
2020,3,Renfrewshire,375,99,0.0,0.0,0.0,0.0,0.0
